name,type,domain,grade,mail_domain,mail_domain_grade,case,contact_email,contact_role,flag,subject,body
McAdenville,municipality,townofmcadenville.org,NO_DMARC,townofmcadenville.org,NO_DMARC,same,clerk@townofmcadenville.org,Town Administrator/Clerk,,McAdenville: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for McAdenville:

townofmcadenville.org has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @townofmcadenville.org address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.townofmcadenville.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@townofmcadenville.org; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Mebane,municipality,cityofmebanenc.gov,NO_DMARC,cityofmebane.com,ENFORCED_QUARANTINE,mail_ok,kmontgomery@cityofmebane.com,IT Department,,Mebane: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Mebane:

Good news first: your email domain cityofmebane.com is properly protected (DMARC quarantine). But cityofmebanenc.gov has no DMARC record at all.

What that means in practice: someone can still send mail that appears to come from an @cityofmebanenc.gov address, which most recipients won't distinguish from your real one. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.cityofmebanenc.gov
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@cityofmebanenc.gov; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Micro,municipality,townofmicro.net,NO_DMARC,townofmicro.com,ENFORCED_REJECT,mail_ok,townclerk@townofmicro.com,Town Clerk,,Micro: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Micro:

Good news first: your email domain townofmicro.com is properly protected (DMARC reject). But townofmicro.net has no DMARC record at all.

What that means in practice: someone can still send mail that appears to come from an @townofmicro.net address, which most recipients won't distinguish from your real one. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.townofmicro.net
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@townofmicro.net; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Midland,municipality,midlandnc.us,NO_DMARC,midlandnc.us,NO_DMARC,same,ssuggs@midlandnc.us,Town Clerk,,Midland: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Midland:

midlandnc.us has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @midlandnc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.midlandnc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@midlandnc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Midway,municipality,midway-nc.gov,NO_DMARC,midway-nc.gov,NO_DMARC,same,rgoodson@midway-nc.gov,Town Clerk,,Midway: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Midway:

midway-nc.gov has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @midway-nc.gov address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.midway-nc.gov
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@midway-nc.gov; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Mills River,municipality,millsriver.gov,MONITOR_ONLY,millsriver.gov,MONITOR_ONLY,same,patty.brown@millsriver.gov,Town Clerk,,Mills River: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Mills River:

millsriver.gov has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @millsriver.gov address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.millsriver.gov
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@millsriver.gov; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Milton,municipality,townofmiltonnc.gov,NO_DMARC,gmail.com,n/a (consumer provider),consumer,clerktownofmiltonnc@gmail.com,Town Clerk,,Milton: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Milton:

townofmiltonnc.gov has no DMARC record at all. (Your staff mail runs on gmail.com, which is fine; this is about the town's own domain.)

What that means in practice: anyone can send an email that appears to come from an @townofmiltonnc.gov address, and nothing tells the recipient it's fake. Attackers use unused domains exactly this way. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.townofmiltonnc.gov
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@townofmiltonnc.gov; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Mineral Springs,municipality,mineralspringsnc.com,NO_DMARC,aol.com,n/a (consumer provider),consumer,msvickybrooks@aol.com,Town Clerk,,Mineral Springs: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Mineral Springs:

mineralspringsnc.com has no DMARC record at all. (Your staff mail runs on aol.com, which is fine; this is about the town's own domain.)

What that means in practice: anyone can send an email that appears to come from an @mineralspringsnc.com address, and nothing tells the recipient it's fake. Attackers use unused domains exactly this way. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.mineralspringsnc.com
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@mineralspringsnc.com; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Mint Hill,municipality,minthill.gov,NO_DMARC,minthill.com,NO_DMARC,both_bad,info@minthill.com,General contact,,Mint Hill: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Mint Hill:

Both of your domains are affected. minthill.gov has no DMARC record at all. And your email domain: minthill.com has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @minthill.com or @minthill.gov address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.minthill.com
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@minthill.com; fo=1

and the same record for minthill.gov:
  Host:  _dmarc.minthill.gov
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@minthill.gov; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Misenheimer,municipality,villageofmisenheimernc.gov,NO_DMARC,villageofmisenheimernc.gov,NO_DMARC,same,manager@villageofmisenheimernc.gov,Village Administrator/Clerk,,Misenheimer: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Misenheimer:

villageofmisenheimernc.gov has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @villageofmisenheimernc.gov address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.villageofmisenheimernc.gov
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@villageofmisenheimernc.gov; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Mocksville,municipality,mocksvillenc.gov,MONITOR_ONLY,mocksvillenc.gov,MONITOR_ONLY,same,equance@mocksvillenc.gov,Town Clerk,,Mocksville: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Mocksville:

mocksvillenc.gov has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @mocksvillenc.gov address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.mocksvillenc.gov
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@mocksvillenc.gov; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Montreat,municipality,townofmontreat.org,NO_DMARC,townofmontreat.org,NO_DMARC,same,amurphy@townofmontreat.org,Town Clerk,,Montreat: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Montreat:

townofmontreat.org has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @townofmontreat.org address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.townofmontreat.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@townofmontreat.org; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Mooresville,municipality,mooresvillenc.gov,MONITOR_ONLY,mooresvillenc.gov,MONITOR_ONLY,same,jcrosby@mooresvillenc.gov,Town Clerk,,Mooresville: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Mooresville:

mooresvillenc.gov has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @mooresvillenc.gov address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.mooresvillenc.gov
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@mooresvillenc.gov; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Morehead City,municipality,moreheadcitync.gov,MONITOR_ONLY,moreheadcitync.gov,MONITOR_ONLY,same,administration@moreheadcitync.gov,Administration Department,,Morehead City: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Morehead City:

moreheadcitync.gov has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @moreheadcitync.gov address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.moreheadcitync.gov
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@moreheadcitync.gov; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Mount Gilead,municipality,mtgileadnc.com,NO_DMARC,mtgileadnc.com,NO_DMARC,same,ljackson@mtgileadnc.com,Town Clerk,,Mount Gilead: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Mount Gilead:

mtgileadnc.com has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @mtgileadnc.com address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.mtgileadnc.com
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@mtgileadnc.com; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Mount Olive,municipality,townofmountolivenc.org,NO_DMARC,townofmountolivenc.com,MONITOR_ONLY,both_bad,secretary@townofmountolivenc.com,Town Clerk,,Mount Olive: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Mount Olive:

Both of your domains are affected. townofmountolivenc.org has no DMARC record at all. And your email domain: townofmountolivenc.com has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @townofmountolivenc.com or @townofmountolivenc.org address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.townofmountolivenc.com
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@townofmountolivenc.com; fo=1

and the same record for townofmountolivenc.org:
  Host:  _dmarc.townofmountolivenc.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@townofmountolivenc.org; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Mount Pleasant,municipality,mtpleasantnc.gov,MONITOR_ONLY,mtpleasantnc.us,NO_DMARC,both_bad,amy@mtpleasantnc.us,Town Clerk,,Mount Pleasant: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Mount Pleasant:

Both of your domains are affected. mtpleasantnc.gov has a DMARC record set to p=none, which reports forged mail but does not block it. And your email domain: mtpleasantnc.us has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @mtpleasantnc.us or @mtpleasantnc.gov address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.mtpleasantnc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@mtpleasantnc.us; fo=1

and the same record for mtpleasantnc.gov:
  Host:  _dmarc.mtpleasantnc.gov
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@mtpleasantnc.gov; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Navassa,municipality,townofnavassa.org,NO_DMARC,townofnavassa.org,NO_DMARC,same,Malston@townofnavassa.org,Town Clerk,,Navassa: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Navassa:

townofnavassa.org has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @townofnavassa.org address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.townofnavassa.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@townofnavassa.org; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
New London,municipality,newlondonnc.org,NO_DMARC,newlondonnc.org,NO_DMARC,same,clerk@newlondonnc.org,Town Clerk,,New London: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for New London:

newlondonnc.org has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @newlondonnc.org address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.newlondonnc.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@newlondonnc.org; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Newland,municipality,townofnewland.org,NO_DMARC,townofnewland.org,NO_DMARC,same,clerk@townofnewland.org,Town Clerk,,Newland: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Newland:

townofnewland.org has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @townofnewland.org address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.townofnewland.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@townofnewland.org; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
